                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3604,                  3.776,                 1.2083,                 0.4521,                0.20238,                0.13348,                0.08793,                 1.4363,                 6.9697,                 1.1642,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.2861,                 3.0134,                 1.1742,                0.97418,                 0.2619,                0.45468,                0.25803,                 1.5862,                 3.6661,                 1.4094,             0.00041236,             0.00041236,             0.00041236
                      3,                 1.5083,                 2.7583,                 1.2241,                0.02875,                0.79762,                0.08838,                0.03536,                 2.0673,                 126.91,                 1.7821,             0.00062254,             0.00062254,             0.00062254
                      4,                 1.6943,                 2.7851,                 1.3386,                0.02875,                0.79762,                0.08838,                0.03536,                 4.9307,                  82293,                  68.05,             0.00083059,             0.00083059,             0.00083059
                      5,                 1.5812,                 2.7881,                 1.2123,                0.44444,                0.02381,                0.01301,                0.00572,                 4.0322,             8.5642e+06,                  12910,              0.0010365,              0.0010365,              0.0010365
                      6,                  1.924,                 3.0823,                 1.4722,                0.44444,                0.02381,                0.01301,                0.00572,                 6.5379,             9.7695e+07,                 9681.5,              0.0012403,              0.0012403,              0.0012403
                      7,                  2.173,                 2.9425,                 1.5798,                0.44444,                0.02381,                0.01301,                0.00572,                      0,                 9784.6,                      0,              0.0013866,              0.0013866,              0.0013866
                      8,                 2.0591,                 2.7558,                 1.6602,                0.44444,                0.02381,                0.01301,                0.00572,                      0,                      0,                      0,              0.0013866,              0.0013866,              0.0013866
                      9,                 2.1117,                 2.8958,                 1.5972,                0.44444,                0.02381,                0.01301,                0.00572,                 5.0805,              1.485e+05,                 3.8174,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.8952,                 2.5054,                 1.5915,                 0.0003,                0.02381,                0.00017,                  2e-05,                  6.246,             2.3043e+06,                   9806,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.7791,                 2.4011,                 1.4684,                0.00017,                0.04762,                0.00011,                  2e-05,                 4.2607,             5.7825e+05,                 1350.4,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.8874,                 2.2074,                 1.5143,                0.00017,                0.04762,                0.00011,                  2e-05,                  3.613,                  18078,                 12.221,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.8571,                 2.4405,                 1.5457,                0.67829,                0.47619,                0.33997,                0.24849,                 2.2755,                 46.966,                 2.1264,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.5616,                 2.1386,                 1.4233,                0.33471,                0.07143,                 0.0008,                 0.0003,                 3.4335,                  618.3,                 5.8695,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.6823,                 2.4629,                 1.3887,                0.04209,                0.38095,                0.04768,                0.02388,                 2.1976,                 774.73,                 4.0476,               0.001337,               0.001337,               0.001337
                     16,                 1.8372,                  2.235,                 1.5298,                0.66808,                0.36905,                0.37017,                0.26182,                 1.6521,                 2.8948,                 1.6336,                0.00133,                0.00133,                0.00133
                     17,                 1.6682,                 2.1408,                 1.4555,                0.35027,                0.41667,                0.01603,                0.01012,                 1.8018,                 28.283,                 1.6788,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.6569,                  2.096,                 1.4326,                0.00574,                   0.25,                0.00514,                0.00146,                 2.3357,                 2605.4,                 1.9223,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.6406,                 2.4492,                 1.4642,                0.00164,                0.17857,                0.00146,                0.00067,                 3.2338,                 1969.9,                 2.8178,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.5987,                 2.0543,                 1.3663,                0.39198,                0.13095,                0.04888,                0.01925,                 2.8959,                 1027.6,                 4.2429,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.5912,                 2.0528,                 1.3644,                0.76987,                0.07143,                0.07268,                0.02243,                 2.8301,                 3.9364,                 2.4114,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.6128,                 1.9713,                 1.3617,                0.13889,                0.14989,                0.21121,                0.12262,                  2.239,                 2.8341,                 1.7229,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.6768,                 2.1221,                 1.3753,                0.74244,                0.35115,                 0.4117,                 0.2032,                 1.8473,                 2.1175,                 1.4927,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.4705,                 1.8184,                 1.3337,                0.82964,                0.47619,                0.46358,                 0.2933,                 1.8073,                 1.8356,                 1.5134,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.5672,                 1.9369,                 1.3323,                0.95917,                0.32143,                0.45649,                0.28401,                 1.7875,                 2.0669,                 1.5445,              0.0012663,              0.0012663,              0.0012663
                     26,                  1.541,                 1.8852,                 1.2737,                0.84835,                0.36905,                0.47454,                0.24535,                 1.8736,                 1.8625,                 1.3642,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.5555,                 1.8892,                 1.3252,                 0.8646,                0.44048,                0.49336,                0.25059,                 1.9508,                  1.896,                 1.4106,              0.0012522,              0.0012522,              0.0012522
                     28,                   1.48,                 1.7062,                 1.2587,                0.75017,                0.43917,                0.47813,                0.29906,                 1.5753,                 1.6217,                 1.2765,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.4396,                 1.6346,                 1.2484,                0.77977,                0.41667,                0.49791,                0.31339,                  1.444,                 1.6113,                 1.2237,               0.001238,               0.001238,               0.001238
                     30,                 1.3279,                 1.6195,                 1.2635,                 0.3425,                   0.75,                0.53415,                0.29945,                  1.445,                 2.7073,                 1.2512,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.4133,                 1.6558,                 1.2324,                0.23017,                0.35584,                0.18586,                0.07476,                 2.0786,                 6.6498,                 1.8236,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.4471,                 1.6861,                 1.2903,                0.36421,                0.68813,                0.42162,                0.21723,                 1.8826,                 10.226,                 1.5313,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.4534,                 1.7678,                  1.241,                0.16636,                0.69048,                0.22305,                0.12931,                 2.1269,                 32.447,                  1.665,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.4745,                 1.6741,                 1.3031,                0.42119,                0.40476,                0.11116,                 0.0666,                  3.469,                 557.57,                 3.7471,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.4134,                 1.5951,                 1.2205,                0.60536,                    0.5,                0.39837,                0.29692,                 1.5116,                 18.365,                 1.4677,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.4362,                 1.5995,                 1.1993,                  0.673,                0.87592,                0.86952,                0.48632,                 1.3616,                 1.3673,                 1.2199,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.5123,                 1.6637,                 1.2736,                0.71576,                0.87476,                0.87035,                0.44823,                 1.4923,                 1.3296,                 1.2813,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.3795,                 1.4997,                 1.2133,                0.73807,                0.80624,                0.84431,                0.41152,                 1.5455,                  1.435,                 1.3921,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.4771,                 1.5716,                 1.2051,                0.73732,                0.85951,                0.85278,                0.44865,                 1.6345,                 1.4348,                 1.4023,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.4487,                  1.545,                  1.197,                0.85516,                0.53466,                0.88793,                 0.4994,                 1.5212,                 1.8035,                 1.2819,              0.0011602,              0.0011602,              0.0011602
                     41,                   1.36,                 1.4169,                 1.1705,                 0.8011,                  0.605,                0.59202,                0.41591,                 1.4236,                 2.3655,                 1.1752,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.3012,                 1.5027,                 1.1593,                0.92697,                0.44048,                0.59993,                0.41597,                 1.4099,                 1.3896,                 1.2029,              0.0011461,              0.0011461,              0.0011461
                     43,                  1.311,                 1.4854,                 1.1659,                0.87168,                0.57872,                0.65954,                 0.4456,                 1.4991,                 1.2886,                 1.1834,               0.001139,               0.001139,               0.001139
                     44,                 1.1832,                 1.2891,                  1.121,                0.97294,                0.51079,                0.93152,                0.50262,                 1.4205,                 1.0942,                 1.0923,              0.0011319,              0.0011319,              0.0011319
                     45,                 1.2185,                 1.2545,                 1.1071,                0.79111,                0.58129,                0.75035,                0.46002,                 1.3291,                 1.4151,                 1.0746,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.2561,                 1.3685,                  1.145,                0.86009,                0.54762,                0.66906,                0.40511,                 1.3661,                 1.4944,                 1.1231,              0.0011178,              0.0011178,              0.0011178
                     47,                 1.2895,                 1.2857,                 1.1287,                0.26974,                0.57149,                0.45628,                0.25196,                 1.5957,                 2.2028,                 1.2946,              0.0011107,              0.0011107,              0.0011107
                     48,                 1.2811,                 1.3427,                 1.1327,                0.51281,                0.70238,                0.52741,                0.29532,                  1.566,                 1.6826,                 1.1913,              0.0011036,              0.0011036,              0.0011036
                     49,                  1.255,                 1.2371,                 1.1396,                0.86299,                0.31829,                 0.3836,                0.23753,                 1.5469,                 1.9364,                 1.2423,              0.0010965,              0.0010965,              0.0010965
                     50,                 1.2376,                 1.3179,                 1.1719,                0.23727,                0.55952,                0.31687,                0.18346,                  2.175,                  5.929,                 1.7565,              0.0010895,              0.0010895,              0.0010895
                     51,                 1.1592,                 1.2844,                 1.0545,                0.28198,                0.78571,                0.76642,                0.36996,                 1.4882,                 1.5726,                  1.202,              0.0010824,              0.0010824,              0.0010824
                     52,                 1.2012,                 1.3203,                 1.1397,                0.53033,                0.95238,                0.89344,                0.47552,                 1.3564,                 1.2729,                 1.2414,              0.0010753,              0.0010753,              0.0010753
                     53,                  1.158,                 1.1989,                 1.0884,                0.92554,                0.56936,                 0.9401,                  0.604,                 1.2978,                 1.1839,                 1.2222,              0.0010682,              0.0010682,              0.0010682
                     54,                 1.1566,                 1.2435,                 1.0766,                0.52121,                0.95238,                0.94522,                0.60859,                 1.2873,                 1.1269,                 1.1865,              0.0010612,              0.0010612,              0.0010612
                     55,                 1.1165,                  1.088,                 1.0651,                0.90442,                0.80952,                0.88938,                0.64989,                 1.3249,                 1.1875,                 1.1212,              0.0010541,              0.0010541,              0.0010541
                     56,                  1.171,                 1.1802,                 1.0568,                0.91502,                0.75054,                0.85564,                0.65781,                 1.2836,                 1.4423,                 1.0725,               0.001047,               0.001047,               0.001047
                     57,                 1.1482,                 1.2007,                 1.0522,                0.71086,                0.85714,                0.85094,                0.59881,                 1.2942,                 1.3782,                 1.1334,                0.00104,                0.00104,                0.00104
                     58,                 1.2093,                 1.2985,                 1.1143,                0.65563,                0.79762,                0.83866,                 0.6122,                 1.2808,                 1.3698,                 1.1105,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.1165,                    1.1,                 1.0632,                0.71837,                0.77381,                0.81718,                0.63788,                 1.2506,                 1.5006,                 1.0983,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.0936,                 1.1275,                 1.0923,                0.69659,                0.72619,                 0.8073,                0.67771,                 1.1369,                 1.4581,                  1.101,              0.0010187,              0.0010187,              0.0010187
